Cliente_Id;Sexo;Estrato;Segmento;Rango de ingresos;Nivel de estudio;Estado civil;Departamento;Edad;Hijos  ;Franquicia;Canal: Presente/No presente;Origen: Nacional /Internacional;Monto transado;Reclamos realizados;cnt_trx_201706;cnt_trx_201707;cnt_trx_201708;cnt_trx_201709;cnt_trx_201710;cnt_trx_201711;cnt_trx_201712;cnt_trx_201801;cnt_trx_201802;cnt_trx_201803;cnt_trx_201804;cnt_trx_201805;cnt_trx_201806;cnt_trx_201807;cnt_trx_201808;cnt_trx_201809;cnt_trx_201810;cnt_trx_201811;cnt_trx_201812;cnt_trx_201901;cnt_trx_201902;cnt_trx_201903;cnt_trx_201904;cnt_trx_201905;cnt_trx_201906
8572524;M;-1;-1; 3,000,000 ;-1;-1;-1; 59 ;0;1;P;Nacional;4,170,168; 2 ;54;102;96;138;220;136;61;43;102;65;66;76;64;63;32;9;51;110;91;51;80;91;91;109;93
36118255;M;-1;-1; 18,000,000 ;-1;-1;-1; 25 ;?;1;Ninguno;Ninguno;0; 2 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25433697;-1;-1;-1; 12,000,000 ;-1;-1;-1;-1 ;?;1;Ninguno;Ninguno;0; 2 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42294870;-1;-1;-1; 22,500,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;56,787,296; 2 ;20;20;21;15;6;16;12;10;10;13;7;11;13;9;18;11;11;10;17;11;10;18;14;28;19
4064581;F;-1;-1; 12,000,000 ;-1;-1;-1; 48 ;0;1;P;Nacional;7,649,387; 2 ;4;1;2;1;4;1;2;8;10;7;5;6;9;4;3;3;3;6;5;7;3;4;5;7;3
31610312;-1;-1;-1; 18,000,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;21,105,570; 2 ;3;75;76;76;88;79;79;50;56;76;33;61;50;2;8;12;47;20;1;3;4;;;;5
20925754;F;-1;-1; 19,500,000 ;-1;-1;-1; 31 ;?;1;P;Nacional;35,096,866; 2 ;26;5;9;10;5;10;10;2;3;3;4;;;;;;;;;;;;;;
48471485;F;-1;-1; 4,800,000 ;-1;-1;-1; 63 ;?;1;P;Nacional;3,380,837; 2 ;13;6;1;12;;;1;1;2;2;2;2;;1;7;8;1;;;;;;;;
37786927;-1;-1;-1; 12,450,000 ;-1;-1;-1;-1 ;?;1;P;Nacional;43,721,486; 2 ;2;1;1;2;1;4;2;2;1;3;2;1;3;3;3;3;;2;1;;;;1;;
27102369;F;-1;-1; 4,800,000 ;-1;-1;-1; 38 ;?;1;Ninguno;Ninguno;0; 2 ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
