Cliente_Id;Sexo;Estrato;Grupo_valor;Rango_ingresos_acum;Nivel_estudio;Estado_civil;Departamento;Edad;Franquicia;canal;origen;Monto_transado;Reclamos;cnt_trx_201706;cnt_trx_201707;cnt_trx_201708;cnt_trx_201709;cnt_trx_201710;cnt_trx_201711;cnt_trx_201712;cnt_trx_201801;cnt_trx_201802;cnt_trx_201803;cnt_trx_201804;cnt_trx_201805;cnt_trx_201806;cnt_trx_201807;cnt_trx_201808;cnt_trx_201809;cnt_trx_201810;cnt_trx_201811;cnt_trx_201812;cnt_trx_201901;cnt_trx_201902;cnt_trx_201903;cnt_trx_201904;cnt_trx_201905;cnt_trx_201906;Total_trx;Recency;Outliers;Mahal Distance
15584515;M;4;Alto;9000000;Maestria;CASADO;BOGOTA D.C.;33;VISA;P;Nacional;16201933;2;5;3;19;5;12;0;14;6;0;0;0;0;0;2;3;0;19;1;0;0;0;0;3;0;1;93;0;0;0.968771714
30597465;F;4;Alto;9000000;Pregrado;SOLTERO;BOGOTA D.C.;32;VISA;P;Nacional;6082637;4;1;7;1;2;8;4;25;2;1;5;19;13;9;14;6;6;13;21;14;22;6;20;14;36;23;292;0;0;12.567.658.659.712.800
43679646;M;5;Alto;9000000;Especializacion;CASADO;ANTIOQUIA;32;VISA;P;Internacional;6869359;3;3;5;6;3;10;0;3;17;9;36;21;9;19;14;11;3;10;17;8;16;7;4;16;20;10;277;0;0;12.078.961.034.664.200
24418301;M;6;Alto;9000000;Especializacion;CASADO;ANTIOQUIA;32;VISA;P;Internacional;7829548;3;1;6;4;6;8;6;4;0;0;1;3;0;2;0;10;3;2;1;2;4;1;3;0;0;0;67;3;0;1.152.218.467.965.290
28820084;F;6;Alto;9000000;Maestria;SOLTERO;ANTIOQUIA;32;AMEX;P;Internacional;6769565;3;9;14;20;15;17;12;31;18;13;18;17;25;21;7;9;1;1;3;2;2;3;0;0;0;0;258;4;0;11.763.132.968.534.900
40621855;M;4;Alto;9000000;Maestria;CASADO;VALLE DEL CAUCA;32;AMEX;I;Nacional;916928;2;1;1;3;6;3;3;0;1;1;4;10;1;0;0;1;1;0;6;6;3;6;1;2;1;6;67;0;0;13.445.651.701.814.800
25594467;F;6;Alto;9000000;Especializacion;SOLTERO;ANTIOQUIA;32;VISA;P;Internacional;8306076;3;3;35;14;8;5;11;11;10;13;18;21;25;19;14;26;11;24;15;17;7;12;12;9;22;13;375;0;0;14.255.968.868.909.400
3019087;F;5;Alto;9000000;Maestria;SOLTERO;BOGOTA D.C.;32;AMEX;I;Nacional;9127374;2;1;24;30;18;15;21;11;8;9;9;16;10;38;15;20;7;12;10;5;9;4;10;11;11;6;330;0;0;12.846.601.046.175.900
23987236;F;5;Alto;9000000;Especializacion;CASADO;ANTIOQUIA;32;VISA;P;Internacional;15751107;3;2;11;24;15;29;23;28;26;14;25;37;33;36;30;22;28;31;21;34;17;23;30;9;12;8;568;0;0;2.060.684.230.817.640
35509332;M;5;Alto;9000000;Especializacion;SOLTERO;VALLE DEL CAUCA;32;AMEX;I;Nacional;26071103;3;4;2;3;17;1;4;24;7;0;0;2;3;0;6;7;4;0;0;3;1;6;0;0;2;2;98;0;0;12.074.962.207.525.800
