Cliente_Id;Sexo;Estrato;Grupo_valor;Rango_ingresos_acum;Nivel_estudio;Estado_civil;Departamento;Edad;Franquicia;canal;origen;Monto_transado;Reclamos;cnt_trx_201706;cnt_trx_201707;cnt_trx_201708;cnt_trx_201709;cnt_trx_201710;cnt_trx_201711;cnt_trx_201712;cnt_trx_201801;cnt_trx_201802;cnt_trx_201803;cnt_trx_201804;cnt_trx_201805;cnt_trx_201806;cnt_trx_201807;cnt_trx_201808;cnt_trx_201809;cnt_trx_201810;cnt_trx_201811;cnt_trx_201812;cnt_trx_201901;cnt_trx_201902;cnt_trx_201903;cnt_trx_201904;cnt_trx_201905;cnt_trx_201906;Total_trx
49024025;M;6;Alto;15000000;Pregrado;CASADO;BOGOTA D.C.;39;VISA;I;Nacional;50913003;2;11;6;8;5;9;6;5;7;18;3;0;0;0;0;0;3;0;13;12;3;0;0;0;0;0;109
36713455;F;5;Alto;13500000;Maestria;CASADO;BOGOTA D.C.;39;AMEX;I;Nacional;715120;2;7;9;8;0;0;0;7;5;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50
19261120;F;6;Alto;13500000;Pregrado;CASADO;BOGOTA D.C.;39;AMEX;I;Nacional;5392310;2;8;2;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
26564206;M;5;Alto;13500000;Especializacion;CASADO;ANTIOQUIA;39;VISA;P;Nacional;8204389;3;3;4;3;5;7;2;1;3;6;5;6;6;2;8;0;6;4;12;14;0;0;2;2;3;2;106
32030529;M;6;Alto;13500000;Especializacion;CASADO;ANTIOQUIA;39;MASTER;P;Nacional;8922242;3;1;2;4;3;8;5;4;4;5;7;10;11;9;4;12;8;11;7;5;5;0;5;9;4;4;147
19669305;F;5;Alto;13500000;Pregrado;CASADO;BOGOTA D.C.;39;AMEX;I;Nacional;16138514;2;10;4;14;25;5;27;5;3;4;18;8;11;8;7;12;16;6;15;24;52;22;44;43;29;52;464
38808910;M;4;Alto;13500000;Especializacion;CASADO;ANTIOQUIA;39;MASTER;P;Nacional;16567264;3;8;8;2;5;9;6;3;12;7;10;11;11;21;12;16;40;52;24;40;25;29;11;25;10;15;412
6085177;F;6;Alto;13500000;Especializacion;SOLTERO;ANTIOQUIA;39;VISA;P;Internacional;4642713;3;6;3;3;5;3;4;13;2;2;3;6;3;1;2;0;6;4;2;0;0;0;4;3;1;1;77
10670202;F;4;Alto;13500000;Especializacion;SOLTERO;VALLE DEL CAUCA;39;MASTER;P;Nacional;8297124;3;1;2;9;9;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28
2498950;F;5;Alto;13500000;Especializacion;SOLTERO;VALLE DEL CAUCA;39;MASTER;P;Nacional;13453893;3;2;51;31;40;6;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;131
12494281;M;5;Alto;12000000;Especializacion;CASADO;ANTIOQUIA;39;MASTER;P;Nacional;258457;3;3;8;7;7;2;2;4;0;1;2;1;3;2;10;5;6;6;6;3;0;0;0;0;0;0;78
14192929;M;5;Alto;12000000;Especializacion;CASADO;ANTIOQUIA;39;VISA;P;Internacional;10805201;3;1;5;4;4;2;6;30;3;1;1;1;1;2;1;3;9;0;0;0;0;0;0;0;0;0;74
10112034;F;6;Alto;12000000;Especializacion;SOLTERO;CALDAS;39;VISA;P;Internacional;5608835;3;25;2;9;4;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;52
4214768;M;6;Alto;12000000;Especializacion;SOLTERO;ANTIOQUIA;39;MASTER;P;Nacional;2824944;3;1;4;11;15;16;24;21;5;22;16;14;16;20;5;6;7;10;11;6;6;2;5;3;2;2;250
29388040;F;5;Alto;11700000;Maestria;CASADO;BOGOTA D.C.;39;AMEX;I;Nacional;7723208;2;4;5;4;0;0;0;0;2;0;3;0;0;3;0;14;0;0;0;1;3;0;0;0;0;0;39
37478683;M;6;Alto;10500000;Maestria;CASADO;VALLE DEL CAUCA;39;AMEX;I;Nacional;1322741;2;1;1;1;1;1;1;2;3;1;2;3;0;0;2;2;1;0;2;2;0;2;0;1;1;2;32
48889561;F;4;Alto;10500000;Especializacion;CASADO;ANTIOQUIA;39;MASTER;P;Nacional;37727407;3;1;6;7;8;6;2;3;7;6;10;10;9;1;2;1;5;2;0;1;2;0;1;1;6;1;98
22286182;F;6;Alto;9000000;Maestria;CASADO;VALLE DEL CAUCA;39;AMEX;I;Nacional;893630;2;1;5;1;1;0;1;4;1;1;0;4;2;2;4;6;4;8;4;3;13;4;3;5;3;6;86
25761477;M;6;Alto;9000000;Maestria;CASADO;BOGOTA D.C.;39;AMEX;I;Nacional;5615926;2;14;4;6;3;6;20;9;5;6;8;12;17;13;9;6;13;15;13;17;5;3;5;9;7;9;234
